# CBT player-team season seed generated from OOTP import_export career stats.
# OOTP numeric player ids and team ids are intentionally omitted because they can change per save.
# KBO Futures affiliates are folded into parent KBO club codes; Sangmu is excluded.
player_key,last_name,first_name,team_code,season_count
cho---000won,Cho,Won-u,HH,4
cho---000won,Cho,Won-u,SSG,6
cho---000yan,Cho,Yang-geun,HH,5
cho---000yan,Cho,Yang-geun,LG,2
cho---000yeo,Cho,Yeon-Je,DOO,1
jo----000you,Cho,Yeong-geon,KIW,6
cho---000you,Cho,Yeong-hun,KIA,1
cho---000you,Cho,Yeong-hun,NC,5
cho---000you,Cho,Yeong-hun,SAM,6
kbo_62945,Cho,Yeong-jun,NC,1
kbo_77256,Cho,Yeong-min,DOO,1
cho---001you,Cho,Yeong-min,HH,2
cho---001you,Cho,Yeong-min,SSG,4
cho---001yeo,Cho,Yeong-Sang,DOO,1
kbo_64768,Cho,Yeong-u,HH,2
kbo_64768,Cho,Yeong-u,SSG,3
kbo_64768,Cho,Yeong-u,kt,3
cho---000yoh,Cho,Yo-han,SSG,3
cho---002yon,Cho,Yong-cheol,LOT,2
kbo_50114,Cho,Yong-geun,LG,2
kbo_50114,Cho,Yong-geun,kt,1
cho---003yon,Cho,Yong-ho,HH,3
cho---004yon,Cho,Yong-ho,SSG,2
cho---004yon,Cho,Yong-ho,kt,6
cho---000yon,Cho,Yong-hun,KIW,2
cho---001yon,Cho,Yong-jun,KIW,1
kbo_61390,Cho,Yong-seong,SAM,2
cho---005yon,Cho,Yong-su,KIA,1
kbo_67415,Cho,Yu-seong,SAM,1
cho---000yu-,Cho,Yu-sin,LOT,5
cho---000yoo,Cho,Yun-Chae,HH,7
cho---001yoo,Cho,Yun-jun,LG,7
kbo_64187,Cho,Yun-seong,DOO,1
kbo_64187,Cho,Yun-seong,LG,1
choi--000bos,Choi,Bo-seong,NC,6
chou--000bye,Choi,Byeong-Guk,SAM,1
choi--000bye,Choi,Byeong-uk,DOO,4
choi--000byu,Choi,Byeong-Yeon,KIA,5
choi--002cha,Choi,Chae-heung,LG,1
choi--002cha,Choi,Chae-heung,SAM,6
chou--001cha,Choi,Chan-Uk,SAM,3
chou--002cha,Choi,Chang-ho,LG,5
choi--001cha,Choi,Chang-yang,SAM,5
chou--000che,Choi,Cheol-min,KIA,2
kbo_5129,Choi,Cheon-Man,LOT,1
chou--000chi,Choi,Chi-yong,DOO,1
choi--000chu,Choi,Chung-yeon,SAM,8
choi--000dae,Choi,Dae-seong,DOO,2
choi--000dae,Choi,Dae-seong,LOT,10
choi--000dae,Choi,Dae-seong,kt,3
chou--000dal,Choi,Dal-Ho,LG,3
chou--000deo,Choi,Deok-Hyeon,DOO,2
chou--000deo,Choi,Deok-Hyeon,HH,3
chou--002don,Choi,Dong-chang,DOO,8
choi--004don,Choi,Dong-hui,kt,3
choi--000don,Choi,Dong-hwan,LG,13
choi--000don,Choi,Dong-hwan,kt,1
chou--000don,Choi,Dong-Rak,KIA,1
choi--001don,Choi,Dong-su,LG,19
choi--001don,Choi,Dong-su,SSG,2
chou--003don,Choi,Dong-won,LOT,6
chou--003don,Choi,Dong-won,SAM,2
chou--001don,Choi,Dong-yeon,HH,2
kbo_73650,Choi,Geon-ho,KIA,2
choi--000geo,Choi,Geon-hui,KIA,1
choi--000keu,Choi,Geum-gang,NC,9
kbo_5059,Choi,Geun-Il,LG,1
choi--000ki-,Choi,Gi-mun,DOO,3
choi--000ki-,Choi,Gi-mun,LOT,11
